Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
RiverStone International,RiverStone International,Cold,sage suppression 3,350,insurance,farshogar.irani@gmail.com,http://www.rsml.co.uk,http://www.linkedin.com/company/riverstone%c2%a0international,"","",Minster Court,London,England,United Kingdom,EC3R 7BB,"Minster Court, London, England, United Kingdom, EC3R 7BB","runoff, claims management, legacy, dispute resolution, claims & coverage litigation, insurance business, legacy insurance, portfolio acquisitions, risk management, regulatory compliance, acquisition, capital efficiency, reinsurance, long-term liabilities, complex claims handling, underwriting, reinsurance to close, portfolio transfer, discontinued business, run-off portfolios, claims resolution, legacy portfolios, loss portfolio transfer, legacy sector, it systems, claims handling, corporate governance, insurance, esg principles, capital restructuring, structured transactions, financial services, portfolio transfers, financial security, regulatory relationships, liabilities management, reinsurance contracts, b2b, services, reinsurance carriers, portfolio management, operational efficiency, customer engagement, asset management, conflict resolution",'+44 800 342 5342,"Outlook, Microsoft Office 365, CSC Corporate Domains, Microsoft Azure Hosting, Mobile Friendly, Nginx, Vimeo, WordPress.org, Google Tag Manager, Apache, Ubuntu, Basis","","","","",175000000,"",688cbdf061854400019fe773,6331,52413,"RiverStone International is a prominent global acquirer and reinsurer specializing in legacy and discontinued insurance business. The company operates in multiple markets, including the UK, US, Malta, Ireland, and Bermuda, and has a strong presence in both Lloyd's and company markets. With approximately $6.7 billion in liabilities under management, RiverStone has completed 47 transactions since 2010, acquiring over $17.7 billion in liabilities.

The company offers a variety of services focused on managing legacy insurance portfolios. These services include portfolio transfers, reinsurance transactions such as loss portfolio transfers and reinsurance-to-close deals, and the acquisition of entire companies. RiverStone also emphasizes efficient claims management, ensuring fair and timely resolutions for covered claims. With a dedicated team of over 500 professionals, RiverStone International is committed to professionalism and building strong relationships with regulators and clients, reinforcing its position as a leader in the legacy insurance sector.",1992,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a44d4fe5ae7200014d7874/picture,"","","","",""
Octopus Investments,Octopus Investments,Cold,sage suppression 3,390,financial services,farshogar.irani@gmail.com,http://www.octopusinvestments.com,http://www.linkedin.com/company/octopusinvestments,https://facebook.com/octopusabrighterway/,https://twitter.com/Octopus_Group_,33 Holborn,London,England,United Kingdom,EC1N 2HT,"33 Holborn, London, England, United Kingdom, EC1N 2HT","financial services, healthcare, renewable energy, energy supply, specialist property lending, venture capital trusts, inheritance tax planning solutions, peer to peer lending, savings solutions, venture capital, climate change investments, uk investment manager, estate planning solutions, small company investments, tax-efficient investments, tax-efficient investment products, sustainable infrastructure, private equity, impact-driven investing, portfolio diversification, impact investing, high-growth businesses, impact funds, business relief investments, renewable energy investments, social impact investing, real estate investment, responsible investing, inheritance tax relief, tax relief products, wealth management, uk investment management, investment management, real estate, inheritance tax planning, impact-driven capital, esg investing, services, securities and commodity contracts intermediation and brokerage, estate planning, investment, financial planning, risk assessment, portfolio management, asset management, health care, health, wellness & fitness, hospital & health care, clean energy & technology, environmental services, renewables & environment, venture capital & private equity, law practice, legal services",'+44 800 316 2295,"CSC Corporate Domains, Mimecast, Helpscout, Hubspot, Microsoft Azure Monitor, WP Engine, Appcues, React Redux, Remote",364736320,Other,194445420,2024-07-01,337003000,"",688cbdffd124e00001a7bb30,6732,5231,"Octopus Investments is a prominent investment management firm based in the UK and part of the Octopus Group, which was founded in 2000. The company specializes in retail asset management and offers a variety of investment products and services, particularly focusing on tax-efficient investments. It is recognized as the largest provider of Venture Capital Trusts (VCTs) and Business Relief (BR)-qualifying investments in the UK.

The firm caters to a diverse clientele, including individual investors, business owners, high net worth individuals, and institutional investors. Octopus Investments provides tailored solutions for estate planning, ISA planning, and portfolio diversification, helping clients manage their wealth effectively. With over £10 billion in assets under management, Octopus Investments emphasizes responsible investment practices and aims to deliver both financial returns and positive societal impact. The company is led by CEO Simon Rogerson and supported by a team of over 120 investment professionals.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ad7c449bc2fd00010a24c9/picture,Octopus (octopusgroup.com),"","","",""
Atom bank,Atom bank,Cold,sage suppression 3,540,financial services,farshogar.irani@gmail.com,http://www.atombank.co.uk,http://www.linkedin.com/company/atom-bank,https://facebook.com/AtomBankOfficial/,https://twitter.com/atom_bank,"",Durham,England,United Kingdom,DH1 5,"Durham, England, United Kingdom, DH1 5","digital, retail banking, commercial banking, mortgages, uk banking sector, app usability, digital banking strategy, fintech funding rounds, digital security, customer experience, app-based bank, automated decisioning, digital mortgages, regulation pra, financial technology, sustainability, cloud banking, app customization, app-based lending, savings accounts, interest rates, mobile-first banking, automated banking, digital customer experience, digital onboarding, mobile banking, low-cost operations, mortgage lending, customer support, app security features, fintech innovation, sustainability investments, low-cost banking, mobile app, sustainability initiatives, small business finance, digital banking, savings and deposit accounts, investment, mobile banking app, fintech regulation, real-time payments, regulation fca, banking, investment bbva, regulatory compliance, technology infrastructure, sustainable banking, digital banking security, data security, real-time transfers, customer-centric, small business loans, regulation pra fca, automation, app-based banking, digital banking innovation, user personalization, user experience, fintech, digital customer onboarding, secure banking, app-driven banking, digital transformation, app-based savings, digital-only bank, challenger bank, mobile banking security, growth strategy, security, environmental responsibility, fintech startup, financial innovation, sustainable finance, growth, app development, financial regulation, business loans, real-time notifications, fintech disruption, digital banking growth, fintech funding, security features, customer engagement, app security, fintech investment, app-based financial services, app interface, digital customer service, challenger bank uk, b2c, d2c, services, retail, financial services, innovation, risk management, finance technology, information technology & services, environmental services, renewables & environment, computer & network security, ux, apps, software development",'+44 333 399 0050,"Gmail, Mimecast, Google Apps, Microsoft Office 365, Amazon AWS, Atlassian Cloud, React, Datadog, Facebook Widget, Facebook Custom Audiences, Trustpilot, Google Play, Bootstrap Framework, Google Tag Manager, Facebook Login (Connect), Nginx, Mobile Friendly, YouTube, UserZoom, Reevoo, Incapsula, Google Analytics, Highspot, AI, Remote, Reviews",596282358,Other,121521000,2023-10-01,258265000,"",688cbe338c12880001d470a7,6021,52211,"Atom Bank is a digital bank based in the United Kingdom, established in 2014. It is recognized as the UK's first bank designed exclusively for mobile devices, operating without physical branches. Atom Bank received its full UK banking license in 2015 and began offering services to the public in April 2016.

The bank provides a variety of financial services through its mobile app, including fixed-term savings accounts with competitive interest rates, a strong presence in the mortgage market, and business loans through government-backed schemes. Atom Bank has loaned £2.8 billion to mortgage customers and over £700 million to businesses, supporting small to medium-sized enterprises. The bank has shown significant financial growth, generating profits by 2019 and raising nearly £500 million in funding to further its development. Atom Bank emphasizes technology and innovation, offering efficient services and instant transactions through its digital platform.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ac6b803cde940001821857/picture,"","","","",""
Santander Consumer (UK) plc,Santander Consumer plc,Cold,"",530,financial services,farshogar.irani@gmail.com,http://www.santanderconsumer.co.uk,http://www.linkedin.com/company/santander-consumer-finance-uk,"","",86 Station Road,"",England,United Kingdom,RH1 1SR,"86 Station Road, England, United Kingdom, RH1 1SR","car finance, commercial vehicle finance, motorcycle finance, caravan finance, leisure vehicle finance, dealer collaboration, conditional sale, sustainable finance initiatives, customer support tools, payment arrangements, vehicle finance solutions, vehicle finance for businesses, automotive finance, customer account services, contract purchase, dealer network, vehicle ownership options, vehicle leasing, lease purchase, dealer partnerships, end of contract queries, customer data management, short-term vehicle leasing, purchase plan, online account management, direct debit management, customer support, finance products, personal contract purchase, finance management, balloon payments, personal contract hire, customer account portal, financial services, conditional sale with balloon, flexible lease options, contract hire, flexible payment options, finance application process, settlement requests, finance clearance, mileage modification, account updates, account management, leasing and rental services, vehicle return process, b2b, b2c, services, retail, financial transactions processing, reserve, and clearinghouse activities, sustainability, enterprise software, enterprises, computer software, information technology & services, environmental services, renewables & environment",'+44 800 085 1759,"CloudFlare CDN, CSC Corporate Domains, Amazon SES, Microsoft Office 365, CloudFlare Hosting, OneTrust, LivePerson Monitor, Bootstrap Framework, Vimeo, Nginx, Google Tag Manager, WordPress.org, Mobile Friendly, Google Analytics","","","","",175100000,"",68b05e792592f00001923961,"6199, 6199",52232,"Santander Consumer (UK) plc is a leading independent finance company based in Redhill, Surrey. Operating under the name Santander Consumer Finance, it is part of the global Banco Santander group. The company specializes in providing finance solutions for personal and business vehicle purchases, including cars and motorcycles. With over half a million live customer agreements, it is recognized as one of the UK's prominent finance providers.

The company offers a range of vehicle finance products tailored for both private individuals and businesses. This includes personal vehicle finance options, business vehicle finance solutions, and wholesale finance facilities through a partnership with Hyundai Capital. Santander Consumer Finance distributes its products through a network of dealers and intermediaries, ensuring accessibility for customers. The company is committed to responsible lending and adheres to the Finance & Leasing Association’s Lending Code, emphasizing customer protection and industry compliance.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68adc46c1f2eab0001369b68/picture,Santander (santander.com),"","","",""
Argentex Group PLC,Argentex Group PLC,Cold,"",200,financial services,farshogar.irani@gmail.com,http://www.argentex.com,http://www.linkedin.com/company/argentex-llp,"","",2 Gresham Street,London,England,United Kingdom,EC2V 7,"2 Gresham Street, London, England, United Kingdom, EC2V 7","institutions, private equity, ftse 250, smes, mid cap, hedging, spot execution, forward contracts, structured products, currency risk management, payments, fx options, market trends, market reports, market scenarios, debt-free business, market analysis services, banking, offices in uk, netherlands, dubai, australia, financial technology, fx market risk management, market volatility, fx scenario modelling, fx market risk mitigation, product diversification, riskless principal broker, fx market analysis platform, real-time account access, secure multi-currency accounts, trusted by 5000+ clients, market insights, market analysis reports, market analysis tools, market intelligence, bespoke currency solutions, fx volatility management, currency management, strategic growth, fx navigator report, fx market outlook analysis, fx market risk analysis, tier 1 bank safeguarding, investment in innovation, market forecasts, fx market insights reports, market analysis software, fx market analysis services, fx market risk analysis tools, market analysis platform, fx market trend forecasting, cash-rich company, fx market outlook reports, geographical expansion, market research, market commentary, fx market analysis software, full reporting capabilities, regulatory oversight, operational excellence, regulatory compliance, fx market data analysis tools, fx market scenario modelling, fx market data feeds, fx market scenario analysis tools, market strategies, foreign exchange trading, fx market insights, full reporting, fx market analysis, market data feeds, fx market trend analysis, london stock exchange, fx market forecasting, private clients, financial services, fx market data analysis, fx contracts, tailored hedging solutions, financial institutions, global payments, fx risk mitigation strategies, market risk management, fx market scenario analysis, fx market scenario planning, client funds security, client-centric solutions, secure payment structures, market outlook, fx market analysis tools, international clients, fx market analysis reports, tier 1 banks, corporate clients, digital payment solutions, multi-currency accounts, market data, market analysis, market updates, fx market data analysis services, advanced technology platform, hedging strategies, market-leading technology, b2b, consulting, services, securities and commodity contracts intermediation and brokerage, risk assessment, financial reporting, finance technology, information technology & services",'+44 20 3772 0300,"Cloudflare DNS, Mimecast, Outlook, CloudFlare Hosting, Microsoft Office 365, Pardot, Salesforce, AI",21682991,Other,4122591,2024-05-01,66135000,"",68b05e792592f0000192396c,6211,5231,"Argentex Group PLC is a UK-based financial services company that specializes in currency management and cross-border payment solutions for businesses and institutions. Founded in 2012 and listed on the London Stock Exchange since 2019, Argentex operates globally with offices in London, Amsterdam, Dubai, and Australia. The company employs 197 people and reported a revenue of £50.3 million for the fiscal year 2024.

Argentex offers a range of services, including currency risk management through spot, forward, and structured FX contracts, as well as dedicated risk managers to create custom strategies. They provide alternative banking solutions with multi-currency accounts and global payment capabilities in 140 currencies. The company also features digital platforms for FX execution and account management. With a diverse client base across various sectors, Argentex focuses on global expansion, product innovation, and enhancing client service through operational restructuring. They prioritize safeguarding client funds and providing competitive FX rates.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68aed021d914db0001e0b92f/picture,IFX Payments (ifxpayments.com),"","","",""
Oakbrook,Oakbrook,Cold,"",110,financial services,farshogar.irani@gmail.com,http://www.oakbrook.com,http://www.linkedin.com/company/oakbrook-finance,https://facebook.com/oakbrookfinance,https://twitter.com/oakbrookfinance,45 Wollaton Street,"",England,United Kingdom,NG1 5FW,"45 Wollaton Street, England, United Kingdom, NG1 5FW","financial services innovation & lending, financial services, personal finance, finance, credit decisioning, cloud-native technology, microservices architecture, api development, data privacy by design, financial services technology, consumer lending, digital lending platform, automated scorecards, open banking integration, real-time analytics, data pipelines, cloud infrastructure, customer experience, customer-centric, responsible lending, proprietary platform, digital transformation, api integrations, digital customer experience, regulatory compliance, big data processing, data science, data analytics, data security, multi-source data fusion, risk management, white-label solutions, customer onboarding, risk assessment algorithms, predictive analytics, automated credit scoring, api-first architecture, regulatory technology, lending platform, ai algorithms, real-time decision engine, data-driven decisions, regtech, financial data integration, customer engagement tools, customer data privacy, fintech, market-leading risk models, self-learning models, customer journey, automated model deployment, credit risk models, open banking data, self-learning scorecards, advanced analytics, event-driven architecture, financial inclusion, machine learning models, ai in credit scoring, open banking, scalable infrastructure, consumer loans, cloud computing, ai-powered decisioning, modular fintech solutions, innovative financial products, predictive customer insights, fintech innovation, personalized credit offers, personalized borrowing, machine learning, b2b, b2c, d2c, services, retail, other activities related to credit intermediation, financial technology, risk assessment, enterprise software, enterprises, computer software, information technology & services, internet infrastructure, internet, computer & network security, finance technology, artificial intelligence",'+44 20 8080 6450,"Mailchimp Mandrill, Outlook, Microsoft Office 365, DigitalOcean, Gmail, Google Apps, Rackspace MailGun, Atlassian Cloud, React Redux, Zendesk, Google Tag Manager, Nginx, Mobile Friendly, Google Analytics, AI",186697340,Other,186697340,2022-03-01,53000000,"",68b05e792592f00001923972,"",52239,"Oakbrook Finance is a UK-based financial services group that specializes in consumer lending and financial technology. Established in 2011, the company focuses on providing personalized lending solutions through its proprietary technology and data analytics. Oakbrook operates two FCA-regulated consumer lending businesses and its B2B technology and analytics arm, O6K.

The company offers loans ranging from £500 to £15,000 with competitive APRs starting at 9.9%. Its O6K platform delivers white-label lending solutions, embedded finance integrations, and analytics tools that process 3 billion data points daily. Oakbrook is committed to simplifying the borrowing process by utilizing real-time data and individual customer circumstances, moving away from traditional credit models. The company also boasts a strong digital presence, achieving a Net Promoter Score of over 75 across more than 40 financial aggregator partnerships.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68aefdfdf233370001f41689/picture,"","","","",""
Simplybiz,Simplybiz,Cold,"",160,financial services,farshogar.irani@gmail.com,http://www.simplybiz.co.uk,http://www.linkedin.com/company/simplybiz-plc,"",https://twitter.com/simplybizserves,Stadium Way,"",England,United Kingdom,HD1 6PG,"Stadium Way, England, United Kingdom, HD1 6PG","compliance, fca regulation, direct authorisation, business support, network leavers guidance, professional development, best practice, professional connections, marketing support, mortgages, adviser exit strategy, legal connections, financial advisers, financial services, directly authorised firms, digital marketing support, compliance support, client communication tools, technology solutions, investment research, regulatory support, information technology, fca application support, business growth support, market-leading tools, regulatory change management, pension transfer outsourcing, training and cpd, consulting, investment propositions, sm&cr guidance, vulnerable client policies, b2b, services, retail, insurance agencies and brokerages, regulatory compliance, financial planning, risk management, estate planning, data security, digital marketing, wealth management, market research, information technology & services, management consulting, insurance agencies & brokerages, insurance, law practice, legal services, computer & network security, marketing & advertising, investment management",'+44 148 443 9100,"Cloudflare DNS, Rackspace MailGun, MessageGears, Outlook, Microsoft Office 365, Amazon AWS, Route 53, UptimeRobot, OneTrust, Barracuda Networks, , Remote, AI","","","","",80000000,"",68b05e792592f00001923976,7380,52421,"Simplybiz, part of the parent company Fintel, is a UK-based fintech and support services provider focused on intermediary business support for financial professionals. Established in 2002 and operating from Huddersfield, Simplybiz specializes in offering tailored business support services to financial intermediaries, including independent financial advisors, mortgage brokers, and wealth managers.

The company provides a range of services, including regulatory and compliance guidance, fintech solutions, and professional development resources. These offerings help financial professionals navigate regulations, enhance service delivery through technology, and improve client outcomes. Simplybiz collaborates with Defaqto to deliver product ratings, research, and analytics, reinforcing its commitment to supporting financial professionals in achieving better consumer outcomes. The rebranding to Fintel reflects a strategic focus on digitization and innovation in retail financial services.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68acc39c2d1b6f0001cca4b5/picture,"","","","",""
Adsatis Limited,Adsatis,Cold,"",40,financial services,farshogar.irani@gmail.com,http://www.adsatis.com,http://www.linkedin.com/company/adsatis,"","",29 Throgmorton Street,"",England,United Kingdom,EC2N 2AT,"29 Throgmorton Street, England, United Kingdom, EC2N 2AT","risk & regulation, market risk, credit risk, onerisk, frtb, bcbs 239, clientcentricity, client strategy, client profitability, ecommerce, enterprise data management, data strategy, data governance, process optimisation, change management, business transformation, financial data management, process optimization, climate risk framework, data analytics, operating model definition, data visualization, capital reduction strategies, risk management, regulatory impact assessment, capital optimization, operational efficiency, application development, regulatory compliance, data sourcing, business repositioning, derivatives pricing, big data solutions, cloud infrastructure, big data platform, financial markets, market-making automation, management consulting, data quality, product benchmarking, regulatory change, transformation solutions, risk analytics, information technology, regulatory response programs, market analysis, sustainable finance, data management, data integration, business strategy, project delivery, financial services, data engineering, solution design, automated reporting, automated data factory, b2b, consulting, services, management consulting services, project management, analytics, digital transformation, investment banking, big data, business intelligence, system integration, e-commerce, consumer internet, consumers, internet, information technology & services, app development, apps, software development, enterprise software, enterprises, computer software, internet infrastructure, productivity, capital markets",'+44 20 7663 0800,"Outlook, Microsoft Office 365, Mobile Friendly, Squarespace ECommerce, Shutterstock, Data Analytics, Android","","","","",102839000,"",68b05e792592f0000192397c,8731,54161,"Adsatis is a niche financial markets management consultancy based in London, with an international delivery capability. 

Our consultants are financial markets professionals with deep domain expertise in financial markets - the products, the market mechanisms and the business and regulatory drivers that are shaping the industry.  We work with many of the world's leading financial markets organisations to help them to define, manage and implement the change that is required for them to meet regulatory requirements and to be more successful.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68aee38b07bd2e000115b373/picture,"","","","",""
Scottish Friendly,Scottish Friendly,Cold,"",260,financial services,farshogar.irani@gmail.com,http://www.scottishfriendly.co.uk,http://www.linkedin.com/company/scottish-friendly,https://www.facebook.com/ScottishFriendly,https://twitter.com/scotfriendly,16 Blythswood Square,Glasgow,Scotland,United Kingdom,G2 4HJ,"16 Blythswood Square, Glasgow, Scotland, United Kingdom, G2 4HJ","savings & investments, individual saving accounts, junior isas, family investments, taxexempt savings plans, online investment management, customer service, sustainable investing, asset management, community involvement, investment products, community involvement programs, financial services, member interests, customer-centric, regulatory compliance, insurance, member-led mutual, asset management subsidiary, financial education, community support, environmental impact, financial mutuals, protection plans, financial wellbeing, financial education resources, uk financial services, long-term savings, digital platform, life insurance, tax-efficient bonds, heritage since 1862, financial planning, asset under management, member-focused approach, savings and investments, mutual insurer, isa investments, member benefits, mutual life assurance, mutual society, sustainable finance, over 50s life insurance, sustainability, b2c, d2c, services, retail, direct life, health, and medical insurance carriers, environmental services, renewables & environment",'+44 80 0121 6565,"Cloudflare DNS, Mailchimp Mandrill, Mimecast, Outlook, Microsoft Office 365, CloudFlare Hosting, Brightcove, ElasticEmail, Facebook Custom Audiences, Google Analytics, Google Tag Manager, Yieldify, DoubleClick Floodlight, DoubleClick, Google Dynamic Remarketing, Cedexis Radar, Flashtalking, Hotjar, Quantcast, Mobile Friendly, Google Play, Bing Ads, Facebook Widget, Facebook Login (Connect), Vimeo, DoubleClick Conversion, Adobe Media Optimizer, AppNexus, reCAPTCHA, Google Analytics Ecommerce Tracking, WordPress.org, Remote","","","","",68000000,"",68b05e792592f00001923982,6331,52411,"Scottish Friendly is a mutual financial services group based in the UK, with a history of over 160 years. Originally established in 1862 as the City of Glasgow Friendly Society, it was renamed in 1992 after acquiring Scottish Friendly Assurance. The organization operates as a mutual life office, focusing on member benefits and serving approximately 838,000 customers.

The company offers a range of services, including life insurance, savings plans, and investment products through its two main entities: Scottish Friendly Assurance Society Limited and Scottish Friendly Asset Managers Limited. Their offerings include tax-efficient savings vehicles, ISAs, Junior ISAs, and OEICs, aimed at helping families achieve financial wellbeing. As a mutual organization, Scottish Friendly reinvests profits into enhancing customer benefits and community initiatives, emphasizing transparency and customer care. The company is also recognized for its positive workplace culture and commitment to employee wellbeing.",1862,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ac5b9b01711e0001979a30/picture,"","","","",""
Redmayne Bentley LLP,Redmayne Bentley,Cold,"",350,financial services,farshogar.irani@gmail.com,http://www.redmayne.co.uk,http://www.linkedin.com/company/redmayne-bentley,https://www.facebook.com/redmaynebentley,https://twitter.com/redmaynebentley,"",Leeds,England,United Kingdom,"","Leeds, England, United Kingdom","investment management portfolio management inheritance tax portfolio service telephone stockbroking i, active investment approach, investment consultancy, private client investment management, stockbroking, client communication, personal investment service, stockbroking for high-net-worth individuals, stock market research, investment management with direct contact, investment research, portfolio transfer, discretionary management, financial planning, aim portfolios, investment management for trusts, retirement investing, stock trading, investment management for charities, investment management, investment performance reporting, discretionary investment management, active asset management, personalized portfolios, advisory services, financial industry awards, inheritance tax mitigation, bespoke investment solutions, client-focused service, portfolio construction, aim/iht portfolios, financial advisory services, investment advice, investment strategies, investment process, investment awards, active asset allocation, stock market publications, investment risk management, regulated financial services, bespoke portfolios, managed portfolios, non-profit, services, retail, financial services, capital markets, nonprofit organization management",441-132-4369,"Amazon SES, Mailchimp Mandrill, Rackspace MailGun, Mimecast, Outlook, DoubleClick, Google Analytics, Facebook Login (Connect), Google Dynamic Remarketing, Incapsula, ASP.NET, Mobile Friendly, Linkedin Marketing Solutions, Google Tag Manager, DoubleClick Conversion, Facebook Widget, Facebook Custom Audiences, Kentico, Bootstrap Framework, Micro, AI, Canva","","","","",100000000,"",68b05e792592f00001923989,6722,5239,"Redmayne Bentley LLP is a UK-based investment management and stockbroking firm with a history that dates back to 1875. Founded by John Redmayne in Leeds, the company has grown through mergers and technological advancements, becoming one of the largest independently-owned firms in its sector. It offers a wide range of services, including tailored investment management strategies, stockbroking for trade execution, and a digital investment platform for clients to manage their investments.

The firm serves a diverse client base, including individuals, families, and businesses across the UK, focusing on personalized service to help clients achieve their financial goals. Headquartered in Leeds, Redmayne Bentley is an active limited liability partnership and is preparing to celebrate its 150th anniversary in December 2025, with a commitment to innovation in the financial services sector.",1875,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68aff7a83780030001ecaf23/picture,"","","","",""
