Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cute-astronaut-3d-pvc-keychain-space-themed-keyring-with-strap-charm,Cute Astronaut 3D PVC Keychain – Space-Themed Keyring with Strap & Charm,"<p data-start=""170"" data-end=""644"">Blast off into space with this Cute Astronaut 3D PVC Keychain, designed for space lovers and sci-fi fans. Made from high-quality, durable PVC, this adorable astronaut keychain features a detailed spacesuit design with a reflective visor, along with a ""SPACE"" wrist strap and a matching charm. Perfect for keys, backpacks, lanyards, or as a collectible display, this keyring is a must-have for astronomy enthusiasts and futuristic explorers.</p>
<h3 data-start=""646"" data-end=""669"">Key Features:</h3>
<p data-start=""670"" data-end=""1127"">✔ Premium PVC Material – Flexible, durable, and long-lasting.<br data-start=""735"" data-end=""738"">✔ Adorable Astronaut Design – Features a detailed chibi astronaut with a glossy helmet.<br data-start=""833"" data-end=""836"">✔ Bonus Wrist Strap &amp; Charm – Includes a black ""SPACE"" strap and matching astronaut charm.<br data-start=""934"" data-end=""937"">✔ Lightweight &amp; Compact – Ideal for daily use without adding bulk.<br data-start=""1011"" data-end=""1014"">✔ Perfect Gift for Space Lovers – A great collectible for sci-fi fans, space enthusiasts, and dreamers.</p>
<p data-start=""1129"" data-end=""1214"">Upgrade your keychain collection with this Cute Astronaut 3D PVC Keyring today!</p>",DemonFlare,Apparel & Accessories > Handbag & Wallet Accessories > Keychains,keychain,"3D PVC Keychain, Astronaut Keychain, Durable Keychain, High-Quality PVC Keychain, Space & Sci-Fi Collectible, Space Keychain",true,Color,white,,,,,,,,DFKCSP02,0.0,shopify,1,deny,manual,110.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/space_Keychain_1.webp?v=1752408415,1,"Blast off into space with this Cute Astronaut 3D PVC Keychain, designed for space lovers and sci-fi fans. Made from high-quality, durable PVC, this adorable astronaut keychain features a detailed spacesuit design with a reflective visor, along with a ""SPA",false,,,,,,,,,,,,,,0.0,0.0,,0,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/space_Keychain_1.webp?v=1752408415,kg,,50.00,active
cute-astronaut-3d-pvc-keychain-space-themed-keyring-with-strap-charm,,,,,,,,,blue,,,,,,,,DFKCSP03,0.0,shopify,0,deny,manual,159.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/space_Keychain_2.webp?v=1752408415,2,"Blast off into space with this Cute Astronaut 3D PVC Keychain, designed for space lovers and sci-fi fans. Made from high-quality, durable PVC, this adorable astronaut keychain features a detailed spacesuit design with a reflective visor, along with a ""SPA",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/space_Keychain_3.webp?v=1752408415,kg,,50.00,
cute-astronaut-3d-pvc-keychain-space-themed-keyring-with-strap-charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/space_Keychain_3.webp?v=1752408415,3,"Blast off into space with this Cute Astronaut 3D PVC Keychain, designed for space lovers and sci-fi fans. Made from high-quality, durable PVC, this adorable astronaut keychain features a detailed spacesuit design with a reflective visor, along with a ""SPA",,,,,,,,,,,,,,,,,,,,,,,
dark-lord-3d-pvc-keychain-sci-fi-inspired-keyring-with-lucky-strap,Dark Lord 3D PVC Keychain – Sci-Fi Inspired Keyring with Lucky Strap,"<p data-start=""166"" data-end=""617"">Embrace the power of the Dark Side with this Dark Lord 3D PVC Keychain, designed for sci-fi and movie fans. Made from high-quality, durable PVC, this detailed keychain features a mini chibi-style Dark Lord figure, along with a black ""LUCKY"" wrist strap for extra style. Perfect for keys, backpacks, lanyards, or as a collectible display, this keychain is a must-have for sci-fi lovers and pop culture enthusiasts.</p>
<h3 data-start=""619"" data-end=""642"">Key Features:</h3>
<p data-start=""643"" data-end=""1063"">✔ Premium PVC Material – Flexible, lightweight, and long-lasting.<br data-start=""712"" data-end=""715"">✔ Chibi-Style Dark Lord Design – Features detailed armor and a mini red saber.<br data-start=""801"" data-end=""804"">✔ Bonus Wrist Strap – Includes a black ""LUCKY"" strap for added convenience.<br data-start=""887"" data-end=""890"">✔ Lightweight &amp; Compact – Ideal for daily use without adding bulk.<br data-start=""964"" data-end=""967"">✔ Perfect Gift for Sci-Fi Fans – A great collectible for pop culture and movie lovers.</p>
<p data-start=""1065"" data-end=""1138"">Upgrade your accessories with this Dark Lord 3D PVC Keychain today!</p>",DemonFlare,Apparel & Accessories > Handbag & Wallet Accessories > Keychains,keychain,"3D PVC Keychain, Dark Lord Keychain, Movie Collectible, Pop Culture Keyring, Sci-Fi Keychain",true,Title,Default Title,,,,,,,,DFKCSP01,0.0,shopify,2,deny,manual,99.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/Dark_fighter_keychain_1.webp?v=1752408410,1,"Embrace the power of the Dark Side with this Dark Lord 3D PVC Keychain, designed for sci-fi and movie fans. Made from high-quality, durable PVC, this detailed keychain features a mini chibi-style Dark Lord figure, along with a black ""LUCKY"" wrist strap fo",false,,,,,,,,,,,,,,0.0,0.0,,0,,kg,,50.00,active
dark-lord-3d-pvc-keychain-sci-fi-inspired-keyring-with-lucky-strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/Dark_fighter_keychain_2.webp?v=1752408410,2,"Embrace the power of the Dark Side with this Dark Lord 3D PVC Keychain, designed for sci-fi and movie fans. Made from high-quality, durable PVC, this detailed keychain features a mini chibi-style Dark Lord figure, along with a black ""LUCKY"" wrist strap fo",,,,,,,,,,,,,,,,,,,,,,,
minato-namikaze-3d-pvc-keychain-naruto-anime-keyring-with-braided-strap,Minato Namikaze 3D PVC Keychain – Naruto Anime Keyring with Braided Strap,"<p data-start=""171"" data-end=""604"">Carry the power of the Fourth Hokage, Minato Namikaze, with this Naruto-inspired 3D PVC Keychain. Made from high-quality, durable PVC, this keychain showcases Minato in his signature Hokage cloak, holding his Flying Thunder God Kunai, along with a yellow braided rope strap and logo charm. Perfect for keys, backpacks, lanyards, or as a collectible, this is a must-have for Naruto fans and anime lovers.</p>
<h3 data-start=""606"" data-end=""629"">Key Features:</h3>
<p data-start=""630"" data-end=""1077"">✔ Premium PVC Material – Flexible, lightweight, and built to last.<br data-start=""700"" data-end=""703"">✔ Authentic Minato Namikaze Design – Features his iconic Hokage robe, kunai, and winking expression.<br data-start=""811"" data-end=""814"">✔ Bonus Braided Strap &amp; Charm – Includes a yellow rope strap with Naruto emblem.<br data-start=""902"" data-end=""905"">✔ Lightweight &amp; Compact – Ideal for daily use without adding bulk.<br data-start=""979"" data-end=""982"">✔ Perfect Gift for Anime Fans – A great collectible for Naruto Shippuden enthusiasts.</p>
<p data-start=""1079"" data-end=""1165"">Upgrade your keychain collection with this Minato Namikaze 3D PVC Keyring today!</p>",DemonFlare,"Toys & Games > Toys > Dolls, Playsets & Toy Figures",keychain,"3D PVC Keychain, Anime Keychain, Minato Namikaze Keychain, Naruto Keychain, Naruto Shippuden Merchandise",true,Title,Default Title,,,,,,,,DFKCNT16,0.0,shopify,0,deny,manual,159.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/keychain-01172.webp?v=1752408406,1,"Carry the power of the Fourth Hokage, Minato Namikaze, with this Naruto-inspired 3D PVC Keychain. Made from high-quality, durable PVC, this keychain showcases Minato in his signature Hokage cloak, holding his Flying Thunder God Kunai, along with a yellow",false,,,,,,,,,,,,,,0.0,0.0,,0,,kg,,50.00,active
kakashi-hatake-3d-pvc-keychain-naruto-anime-keyring-with-braided-strap,Kakashi Hatake 3D PVC Keychain – Naruto Anime Keyring with Braided Strap,"<p data-start=""170"" data-end=""623"">Show off your ninja skills with this Kakashi Hatake 3D PVC Keychain, featuring the legendary Copy Ninja from Naruto Shippuden. Made from high-quality, durable PVC, this keychain showcases Kakashi in his signature ninja gear, holding his favorite book, along with a green braided rope strap and logo charm. Perfect for keys, backpacks, lanyards, or as a collectible, this is a must-have for Naruto fans and anime lovers.</p>
<h3 data-start=""625"" data-end=""648"">Key Features:</h3>
<p data-start=""649"" data-end=""1083"">✔ Premium PVC Material – Flexible, lightweight, and long-lasting.<br data-start=""718"" data-end=""721"">✔ Authentic Kakashi Design – Features his Hidden Leaf headband, vest, and signature book.<br data-start=""818"" data-end=""821"">✔ Bonus Braided Strap &amp; Charm – Includes a green rope strap with Naruto emblem.<br data-start=""908"" data-end=""911"">✔ Lightweight &amp; Compact – Ideal for daily use without adding bulk.<br data-start=""985"" data-end=""988"">✔ Perfect Gift for Anime Fans – A great collectible for Naruto Shippuden enthusiasts.</p>
<p data-start=""1085"" data-end=""1163"">Upgrade your accessories with this Kakashi Hatake 3D PVC Keychain today!</p>",DemonFlare,"Toys & Games > Toys > Dolls, Playsets & Toy Figures",keychain,"3D PVC Keychain, Anime Collectible, Anime Keychain, Kakashi Hatake Keychain, Naruto Keychain, Otaku Merchandise",true,Title,Default Title,,,,,,,,DFKCNT15,0.0,shopify,0,deny,manual,159.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/keychain-01170.webp?v=1752408403,1,"Show off your ninja skills with this Kakashi Hatake 3D PVC Keychain, featuring the legendary Copy Ninja from Naruto Shippuden. Made from high-quality, durable PVC, this keychain showcases Kakashi in his signature ninja gear, holding his favorite book, alo",false,,,,,,,,,,,,,,0.0,0.0,,0,,kg,,50.00,active
kakashi-hatake-3d-pvc-keychain-naruto-anime-keyring-with-braided-strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/keychain-01170.png?v=1752408403,2,"Show off your ninja skills with this Kakashi Hatake 3D PVC Keychain, featuring the legendary Copy Ninja from Naruto Shippuden. Made from high-quality, durable PVC, this keychain showcases Kakashi in his signature ninja gear, holding his favorite book, alo",,,,,,,,,,,,,,,,,,,,,,,
sabo-3d-pvc-keychain-one-piece-anime-keyring-with-braided-strap,Sabo 3D PVC Keychain – One Piece Anime Keyring with Braided Strap,"<p data-start=""163"" data-end=""603"">Carry the spirit of Sabo, the Chief of Staff of the Revolutionary Army, with this One Piece 3D PVC Keychain. Designed with high-quality, durable PVC, this keychain features Sabo in his signature blue coat, top hat, and goggles, along with a matching blue braided rope strap and logo charm. Perfect for keys, backpacks, lanyards, or as a collectible, this is a must-have for One Piece fans and anime lovers.</p>
<h3 data-start=""605"" data-end=""628"">Key Features:</h3>
<p data-start=""629"" data-end=""1048"">✔ Premium PVC Material – Flexible, lightweight, and long-lasting.<br data-start=""698"" data-end=""701"">✔ Authentic Sabo Design – Features his classic outfit, goggles, and pipe staff.<br data-start=""788"" data-end=""791"">✔ Bonus Braided Strap &amp; Charm – Includes a blue rope strap with One Piece emblem.<br data-start=""880"" data-end=""883"">✔ Lightweight &amp; Compact – Ideal for daily use without adding bulk.<br data-start=""957"" data-end=""960"">✔ Perfect Gift for Anime Fans – A great collectible for One Piece enthusiasts.</p>
<p data-start=""1050"" data-end=""1118"">Upgrade your accessories with this Sabo 3D PVC Keychain today!</p>",DemonFlare,"Toys & Games > Toys > Dolls, Playsets & Toy Figures",keychain,"3D Anime Keychain, 3D PVC Keychain, Anime Collectible, Anime Keychain, Durable Keychain, One Piece Keychain, Sabo Keychain",true,Title,Default Title,,,,,,,,DFKCOP08,0.0,shopify,0,deny,manual,159.00,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0664/7037/9585/files/keychain-01174.webp?v=1752408399,1,"Carry the spirit of Sabo, the Chief of Staff of the Revolutionary Army, with this One Piece 3D PVC Keychain. Designed with high-quality, durable PVC, this keychain features Sabo in his signature blue coat, top hat, and goggles, along with a matching blue",false,,,,,,,,,,,,,,0.0,0.0,,0,,kg,,50.00,active
sabo-3d-pvc-keychain-one-piece-anime-keyring-with-braided-strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7037/9585/files/keychain-01174.png?v=1752408399,2,"Carry the spirit of Sabo, the Chief of Staff of the Revolutionary Army, with this One Piece 3D PVC Keychain. Designed with high-quality, durable PVC, this keychain features Sabo in his signature blue coat, top hat, and goggles, along with a matching blue",,,,,,,,,,,,,,,,,,,,,,,
