6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
Afis LLC,People's Republic of China,,$1 - $1M,0 - 9,"Energy & Utilities,Business Services,Consumer Goods and Services",Target
Software Consultants Inc.,Japan,,$1 - $1M,0 - 9,Software,Target
Bazan LLC,Israel,,$1 - $1M,0 - 9,"Consumer Goods and Services,Business Services,Transportation & Logistics",Target
ARTEIXO GESTORES SL,Spain,,$1 - $1M,0 - 9,Business Services,Target
NATIONAL PROSECUTION AUTHORITY,South Africa,,,,Business Services,Target
"GT Capital Holdings, Inc.",Singapore,,$2.5B - $5B,"10,000+",Financial Services,Target
Lederer & Co.,Australia,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
KOBA GmbH,Japan,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services,Hospitality, Travel, and Recreation,Business Services",Target
Metropolitan,India,,$1 - $1M,0 - 9,Financial Services,Target
Shree Shree LLC,India,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
"MANUFACTURED EXCELLENCE, INC.",United States,,$1 - $1M,0 - 9,Software,Target
Maram,Israel,,$1 - $1M,0 - 9,Business Services,Target
The Israeli Antitrust Authority - Competition,Israel,,,,,Target
Fideliance Acf Expertise,France,,$1 - $1M,0 - 9,Financial Services,Target
HOSPICE FUND VERA,Russia,,,,,Target
"Imas Arte Decoracion, S.A. De C.V.",Mexico,,$1 - $1M,0 - 9,Business Services,Target
INTELLICOM SOLUTIONS INC,India,,$1 - $1M,0 - 9,Education,Target
Jinjian Business Factoring Co. Ltd.,People's Republic of China,,$1 - $1M,0 - 9,Business Services,Target
Incorporated Foundation Fund For Co,Japan,,,,,Target
ACRON FRANCE SAS,France,,$1 - $1M,0 - 9,Automotive,Target
APEX ENGINEERING SOLUTION,Germany,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
BA Marzahn - Hellersdorf Germany,Germany,,,,,Target
ASSEMBLEE NATIONALE,Cameroon,,$1 - $1M,0 - 9,Government,Target
Senatsverwaltung Für Integration,Germany,,,,,Target
Temple Worship Center Inc.,United States,,$1 - $1M,0 - 9,Associations & Non Profits,Target
EPI.FIN. S.R.L.,Belgium,,$1 - $1M,0 - 9,Business Services,Target
GODWIN AUSTEN JOHNSON UK LIMITED,United Kingdom,,$1 - $1M,0 - 9,Construction & Engineering,Target
REGISTRO NACIONAL,Mexico,,$1 - $1M,0 - 9,Energy & Utilities,Target
"Aniko, Inc.",Australia,,$1 - $1M,0 - 9,"Consumer Goods and Services,Hospitality, Travel, and Recreation",Target
"OFFICE SYSTEM SERVICE, K.K.",Japan,,$1 - $1M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
MEGANGIN SL.,Spain,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Hunter Investment Properties LLC,United Kingdom,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
Global Sales Solutions Chile S.A.,Spain,,$1 - $1M,0 - 9,Business Services,Target
SOFAT SRL,Italy,,$1 - $1M,0 - 9,Business Services,Target
Jbit AS,Japan,,$1 - $1M,0 - 9,"Business Services,Software",Target
Remap & Service Experts Ltd,United Kingdom,,$1 - $1M,0 - 9,Transportation & Logistics,Target
Davis Controls Ltd.,Canada,,$1 - $1M,0 - 9,Industrial Manufacturing,Consideration
Linkbynet FR2,France,,,,Information Technology,Target
OOO Tabysh Ltd,Russia,,,,Consumer Goods and Services,Awareness
Best,Argentina,,$1 - $1M,0 - 9,Transportation & Logistics,Target
AMP Networking,United Kingdom,,$1 - $1M,0 - 9,"Telecommunications,Business Services",Target
Guangdong Zhong'an Holdings Limited,People's Republic of China,,$1 - $1M,0 - 9,,Target
Morenci Dental PLC,United States,,$1 - $1M,0 - 9,Healthcare & Medical,Target
OLYMPIC BRASS INDUSTRIES,India,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
KorenTek Ltd.,Israel,,$1 - $1M,0 - 9,Healthcare & Medical,Target
Digital Media Corp.,Malaysia,,$1 - $1M,0 - 9,"Business Services,Media & Entertainment,Media & Entertainment",Target
FAPL SP Z O O,Singapore,,$1 - $1M,0 - 9,"Financial Services,Business Services,Government",Target
Portland House,Australia,,$1 - $1M,0 - 9,"Healthcare & Medical,Financial Services,Business Services",Target
Embratel Participacoes SA,Brazil,,$1 - $1M,0 - 9,Telecommunications,Target
Horizon Wind Energy,Brazil,,$1 - $1M,0 - 9,"Energy & Utilities,Industrial Manufacturing",Target
"Shanghai Ao'ao Industry & Trade Co., Ltd.",People's Republic of China,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
SCOPE ADVANCE TECHNOLOGY,Switzerland,,,,,Target
MECHFIRE ENGINEERING PTE. LTD.,Singapore,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
Wyoming Department Of Employment,United States,,$1 - $1M,0 - 9,Government,Target
Jonko Kalpatchki,Bulgaria,,,,,Target
Speedelec S.A.,Switzerland,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
EUGENE Et GUSTAVE,France,,,,,Target
Florida - Department Of,United States,,$1 - $1M,0 - 9,"Media & Entertainment,Media & Entertainment,Telecommunications",Consideration
Dering LLC,United Kingdom,,$1 - $1M,0 - 9,Healthcare & Medical,Target
Jdream LLC,Taiwan,,$1 - $1M,0 - 9,Automotive,Target
Nationwide Towing Inc.,Australia,,$1 - $1M,0 - 9,Transportation & Logistics,Target
Doehler & Son LLC,United States,,$1 - $1M,0 - 9,,Target
SPECIALIST COMPUTER CENTRES PLC,Spain,,$1 - $1M,0 - 9,Business Services,Target
China Trust Business Commerce Bank,Japan,,,,,Target
"Reiss, Gerald CPA",United States,,$1 - $1M,0 - 9,Business Services,Target
AKAMATSU JIMUKI K.K.,Japan,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
Apex Nursing Services,United States,,$1 - $1M,0 - 9,Healthcare & Medical,Target
VEERASHAIVA SAHAKARI BANK LIMITED,India,,,,Financial Services,Target
MB Infrastructure,Russia,,$1 - $1M,0 - 9,Construction & Engineering,Target
Achenbach & Curry PC,United States,,$1 - $1M,0 - 9,Business Services,Target
Europ Assistance Austria Holding GmbH,Austria,,$1 - $1M,0 - 9,Financial Services,Target
ICTA,India,,$1 - $1M,0 - 9,"Business Services,Construction & Engineering,Construction & Engineering",Target
União Desportiva Vilafranquense,Portugal,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
E.W. INFORMATION SYSTEMS LIMITED,India,,$1 - $1M,,"Information Technology,Software,Hardware & Semiconductors",Target
"Pil Holdings Co., Ltd.",Singapore,,$1 - $1M,0 - 9,"Financial Services,Business Services,Real Estate, Rentals, and Leasing",Consideration
Jumpshot LLC,Czech Republic,,$1 - $1M,0 - 9,"Business Services,Software",Target
AGZRT,Russia,,,,Government,Target
ha.kommune.no,Norway,,,,Consumer Goods and Services,Target
Lancaster County Wide Communication,United States,,$1 - $1M,0 - 9,Associations & Non Profits,Target
JEREMY BROWN - GREAVES & CO PTY LTD,Australia,,$1 - $1M,0 - 9,Business Services,Target
Fondation La Chaloupe,Switzerland,,$1 - $1M,0 - 9,Healthcare & Medical,Target
Shanghai Baoye Amylum Plant,People's Republic of China,,$1 - $1M,0 - 9,Agriculture,Target
Kysthospitalet,Denmark,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
COOPERATIVE BANK OF OROMIA,Kenya,,,,Financial Services,Target
Taurus SA,Japan,,$1 - $1M,0 - 9,"Business Services,Consumer Goods and Services",Target
"Global Brand Corporation, LLC",India,,$1 - $1M,0 - 9,"Consumer Goods and Services,Software,Hardware & Semiconductors",Target
Lixiang Auto,People's Republic of China,,$1 - $1M,0 - 9,Automotive,Awareness
Flex Verwaltungs Chervon Europe,Sweden,,,,,Target
N.H.P Corporation,India,,$1 - $1M,0 - 9,"Consumer Goods and Services,Business Services",Target
BESTLIFE GLOBAL Pvt Ltd,Greece,,$1 - $1M,0 - 9,Business Services,Target
WHA Holding SAS,France,,$1 - $1M,0 - 9,Financial Services,Target
Steve Mitchell,United States,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Zhejiang Anrui Xinjie Digital Technology Co. Ltd.,People's Republic of China,,$1 - $1M,0 - 9,Software,Target
1-GARDEN PTE. LTD.,Singapore,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
CNPq BR,Brazil,,,,,Target
Klaus - Peter Hahn,Germany,,$1 - $1M,,Construction & Engineering,Target
Ocean Unified Communications Ltd,United Kingdom,,$1 - $1M,0 - 9,Business Services,Target
Division Of Governmental MC,Israel,,,,,Target
"Systemhouse, LLC",Japan,,$1 - $1M,0 - 9,"Business Services,Industrial Manufacturing,Software",Target
Detailed Computer Service LLC,United States,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
Alliance Equities Corporation,Canada,,$1 - $1M,0 - 9,Associations & Non Profits,Target
SAFE CITY SECURITY PROJECTS LTD EOOD,Bulgaria,,$1 - $1M,0 - 9,Wholesale & Distribution,Target
WIO 8 SL.,Spain,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
WILDFOWL AND WETLANDS TRUST (TRADING) LIMITED,United Kingdom,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
Cen - Cenelec Management Centre,Belgium,,$1 - $1M,0 - 9,Associations & Non Profits,Target
Suzy Black LLC,United States,,$1 - $1M,0 - 9,Financial Services,Target
OFD System,Russia,,,,,Awareness
strata architecture,Switzerland,,$1 - $1M,0 - 9,Construction & Engineering,Target
LLP Moye White,United States,,$1 - $1M,0 - 9,Business Services,Awareness
PRAXIS DRES. KREMER U. ESCHWEILER,Germany,,,,,Target
PROGRAMA DE EMPLEO TEMPORAL LLAMKAS,Peru,,,,,Target
Sport Inc,Bulgaria,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
"D Com Co., Ltd.",Malaysia,,$1 - $1M,0 - 9,Software,Target
Transport Tsmo Inc.,Canada,,$1 - $1M,0 - 9,Internet,Target
FISCALIA GENERAL DE LA REPUBLICA FGR,Mexico,,,,Government,Target
"K Y M O Technology Co., Ltd",Taiwan,,$1 - $1M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
Angola Consulate General,South Africa,,,,,Target
DLJ Inc,Belgium,,$1 - $1M,0 - 9,"Agriculture,Real Estate, Rentals, and Leasing",Target
"Wuhan Wushang Psychological Counseling Co., Ltd.",People's Republic of China,,$1 - $1M,0 - 9,Business Services,Target
"Pennvest Properties, Inc.",United States,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
Nogi,Japan,,$1 - $1M,0 - 9,"Industrial Manufacturing,Information Technology,Construction & Engineering",Target
Mobitel GmbH,Brazil,,$1 - $1M,0 - 9,"Telecommunications,Business Services",Target
Alrac L.L.C.,People's Republic of China,,$1 - $1M,0 - 9,"Financial Services,Government",Target
Razamataz LLC,United Kingdom,,$1 - $1M,0 - 9,Media & Entertainment,Target
Midwest Fidelity Partners,United States,,$1 - $1M,0 - 9,"Automotive,Real Estate, Rentals, and Leasing",Target
WILLIAM C.H. TAN CONSULTANCY SB,Malaysia,,,,,Target
Saltwater Properties Limited,Australia,,$1 - $1M,0 - 9,Transportation & Logistics,Target
COOPERATIVA NACIONAL MULTIACTIVA DE LA CONFEDERACION DE TRABAJADORES DE COLOMBIA,Colombia,,$1 - $1M,0 - 9,"Transportation & Logistics,Business Services,Consumer Goods and Services",Target
Mack Gerberich & Associates P.C.,United States,,$1 - $1M,0 - 9,Business Services,Target
Piazza Inc,Colombia,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
Hector Delgado,United States,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
"County Of Santa Barbara, CA",United States,,$1 - $1M,,Government,Target
Cert B.V.,India,,$1 - $1M,0 - 9,"Business Services,Transportation & Logistics",Target
CANACINTRA DURANGO CANACINTRA DGO,Mexico,,,,,Target
KEY NETWORK SOLUTIONS L.L.C.,United States,,$1 - $1M,0 - 9,"Software,Information Technology",Target
"Hill Top Tools, LLC",United States,,$1 - $1M,0 - 9,,Target
PLANNET COMPUTING CONSULTANTS LTD.,Israel,,$1 - $1M,0 - 9,Business Services,Target
Confidutia GmbH,Switzerland,,$1 - $1M,0 - 9,"Financial Services,Business Services",Target
RD PLUMBING & HEATING SOLUTION LTD,United Kingdom,,$1 - $1M,0 - 9,Construction & Engineering,Target
Prestige Auto,India,,$1 - $1M,0 - 9,"Automotive,Automotive",Target
Icon Drywall Ltd,Canada,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
HAUS SPS MAKINA ELEKTRONIK BILISIM SANAYI VE TICARET ANONIM SIRKETI,Turkey,,$1 - $1M,0 - 9,Hardware & Semiconductors,Target
AT & S Austria Technologie & Systemtechnik AG,Austria,,,,Software,Target
RENEWABLE ENERGY SYSTEMS AMERICAS INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS RES AMI,United States,,$1 - $1M,0 - 9,,Target
Lot Ocean,United States,,$1 - $1M,0 - 9,Business Services,Target
F1 Systems LLC,Israel,,$1 - $1M,0 - 9,Software,Target
"GO AHEAD Co., Ltd.",New Zealand,,$1 - $1M,0 - 9,"Business Services,Transportation & Logistics,Information Technology",Target
VALTER VALENTE - GESTÃO DE RESÍDUOS LDA,Portugal,,$1 - $1M,0 - 9,"Industrial Manufacturing,Energy & Utilities,Energy & Utilities",Target
Cyber HQ IL,Israel,,,,Government,Decision
Mern - Inforef,Canada,,,,,Consideration
Imetal SA,Switzerland,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Engel - Apotheke Mag. Pharm. Susanne Zauner Kg,Austria,,$1 - $1M,0 - 9,Biotech & Pharmaceuticals,Target
New Century International,People's Republic of China,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services,Real Estate, Rentals, and Leasing,Business Services",Target
"SILPOINT - SERVICOS DE CONTABILIDADE, LDA",Portugal,,$1 - $1M,0 - 9,Business Services,Target
M.A Computers,Israel,,$1 - $1M,0 - 9,"Industrial Manufacturing,Industrial Manufacturing,Consumer Goods and Services",Target
ILIM TIMBER TRADING SA,Switzerland,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Finance CGI Suomi Oy,Finland,,$1 - $1M,0 - 9,Business Services,Target
AKHIL BHARTIYA SHREE SWAMI SAMARTH GURUPEETH,India,,$1 - $1M,0 - 9,Government,Target
PINNACLE BUSINESS COMPANY LIMITED,United States,,$1 - $1M,0 - 9,Financial Services,Target
Aws Investments LLC,United States,,$1 - $1M,0 - 9,Financial Services,Target
Sobol,Russia,,$1 - $1M,0 - 9,"Consumer Goods and Services,Business Services,Hospitality, Travel, and Recreation,Government",Target
CLASSIC RUBBER & ENGINEERING STORES,India,,$1 - $1M,0 - 9,Construction & Engineering,Target
Rfe Marketing LLC,Singapore,,$1 - $1M,0 - 9,Business Services,Target
Volkswagen Holding Osterreich GmbH,Austria,,$1 - $1M,0 - 9,Financial Services,Target
Leo Schecter,Israel,,,,,Target
TKF Limited,Japan,,$1 - $1M,0 - 9,"Business Services,Business Services,Hospitality, Travel, and Recreation",Target
Astra Credit Company,Indonesia,,$1 - $1M,0 - 9,Financial Services,Target
COMPUTER DOCTORS WELLSBORO,United States,,$1 - $1M,0 - 9,Hardware & Semiconductors,Target
Actual Limited,Serbia,,$1 - $1M,0 - 9,Business Services,Target
DSI OPERATIONS LTD,Switzerland,,$1 - $1M,0 - 9,Financial Services,Target
Maremia S.A. De C.V.,Mexico,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
