company_name,company_domain,lead_rows
NaN,,4302
Microsoft,microsoft.com,640
IBM,ibm.com,437
Google,google.com,373
G2K Group,servicenow.com,354
Altran,capgemini.com,337
HPE SimpliVity,hpe.com,336
Salesforce,salesforce.com,332
CIBC,cibc.com,325
Autodesk,autodesk.com,307
ADP,adp.com,305
Goldman Sachs,www.goldmansachs.com,288
Liberty Mutual Insurance,libertymutual.com,284
UBS,www.ubs.com,276
Meta,meta.com,262
Sotheby's,sothebys.com,246
Morgan Stanley,morganstanley.com,239
Kyndryl,kyndryl.com,226
Honeywell,honeywell.com,225
T. Rowe Price,troweprice.com,224
Barclays,www.home.barclays,199
First Data Corporation,fiserv.com,190
Charles Schwab,www.aboutschwab.com,188
Amazon,amazon.com,186
Intuit,intuit.com,184
SAP,sap.com,183
Mellanox Technologies,nvidia.com,182
Akamai Technologies,akamai.com,180
Rubrik,rubrik.com,180
American Express,americanexpress.com,179
Cohesity,cohesity.com,179
Desjardins,desjardins.com,176
"Attivo Networks®, a SentinelOne Company",sentinelone.com,174
Bitcoin Suisse AG,ubs.com,173
Transamerica,transamerica.com,168
BNP Paribas,bnpp.lk,165
Golden Seeds,www.goldenseeds.com,165
Accenture,accenture.com,162
1217,vodafone.com,160
BlackRock,blackrock.com,160
State Street,statestreet.com,160
"Epoch Investment Partners, Inc.",www.td.com,159
ABB,global.abb,151
Thales,thalesgroup.com,150
Adobe,adobe.com,149
J.P. Morgan,jpmorgan.com,149
Atos,atos.net,146
Stripe,stripe.com,146
Fortinet,fortinet.com,145
Bentley Systems,bentley.com,143
Commvault,commvault.com,143
"Bank of Singapore, Asia's Global Private Bank",bankofsingapore.com,142
Box,box.com,142
Fidelity Investments,fidelity.com,140
Capital One,capitalone.com,139
Deltek,deltek.com,139
Workday,workday.com,139
Standard Chartered,sc.com,137
Reliance Industries Limited,ril.com,136
SVB,svb.com,135
Citi,www.citigroup.com,132
Hilton,hilton.com,130
Robinhood,robinhood.com,130
Telefónica,telefonica.com,129
Amazon Web Services,aws.amazon.com,128
BOK Financial,bokfinancial.com,127
Procter & Gamble,us.pg.com,126
Deutsche Bank,db.com,125
LPL Financial,lpl.com,123
Fidelity Investments,www.fidelity.com,121
Nedbank,www.nedbank.co.za,120
Ameriprise Auto & Home Insurance,ameriprise.com,118
RBC,rbc.com,118
Standard Bank Group,standardbank.com,118
Orange,orange.com,116
Asper.ai,bit.ly,113
Acronis,acronis.com,112
Qualcomm,qualcomm.com,112
A&GSync,linktr.ee,111
Deloitte,deloitte.com,111
Liberty Property Trust,prologis.com,110
PIMCO,pimco.com,110
Elida Beauty,unilever.com,109
Ramp,rampgrp.com,109
Virgin Media,news.virginmediao2.co.uk,109
Cloudflare,cloudflare.com,108
Infor,infor.com,108
Proximus,proximus.com,108
Cisco,cisco.com,107
FICO,fico.com,107
Scotiabank,scotiabank.com,104
United Airlines,united.com,102
Abbott,abbott.com,101
Bitdefender,bitdefender.com,101
PRICEWATERHOUSECOOPERS ADVISORY,pwc.com,101
Astra Zeneca LP Us,astrazeneca.com,100
J.Crew,jcrew.com,100
Telekom HU,telekom.hu,100
RingCentral,ringcentral.com,99
Dell Technologies,www.delltechnologies.com,98
Broadcom,broadcom.com,97
Itaú Unibanco,www.itau.com.br,97
Wedbush Securities,www.wedbush.com,96
Cognizant,cognizant.com,95
Proofpoint,proofpoint.com,95
Lifetime Brands,lifetimebrands.com,94
PepsiCo,pepsico.com,94
eTeam,eteaminc.com,94
Analog Devices,analog.com,93
CyberArk,cyberark.com,93
Marriott International,thrustpr.com,91
Odoo,odoo.com,91
Pure Storage,purestorage.com,91
Envestnet,envestnet.com,90
TD,td.com,90
TriMark USA,trimarkusa.com,90
MYOB,myob.com,89
STV,stvinc.com,89
Appirio,wipro.com,88
Crayon,crayon.com,88
FIS,www.fisglobal.com,86
Intesa Sanpaolo,www.group.intesasanpaolo.com,86
Janus Henderson Investors,janushenderson.com,86
Delhivery,delhivery.com,85
EisnerAmper,eisneramper.com,85
Mizuho,www.mizuhogroup.com,85
RBC,www.rbc.com,85
Vantiv,worldpay.com,85
AllianceBernstein,alliancebernstein.com,83
Manulife,manulife.com,83
NCC Group,www.nccgroupplc.com,83
Snowflake,snowflake.com,83
Tech Mahindra,techmahindra.com,83
Verizon,mycareer.verizon.com,83
Amerant Bank,www.amerantbank.com,82
"Apollo Global Management, Inc.",apollo.com,82
Fujitsu,www.fujitsu.com,82
HSBC,hsbc.com,81
Elance-oDesk,upwork.com,80
BlackBerry,blackberry.com,79
Goldman Sachs,goldmansachs.com,79
Altera,intel.com,78
BIOVIA,3ds.com,78
Paychex,paychex.com,78
Tata Consultancy Services,www.tcs.com,78
The Home Depot,homedepot.com,78
American Express,www.americanexpress.com,77
Banco Sabadell,bancsabadell.com,77
GitHub,github.com,77
LTI - Larsen & Toubro Infotech,ltimindtree.com,77
Rabobank,www.rabobank.com,77
Trend Micro,trendmicro.com,77
Alienware,dell.com,76
Ally,ally.com,76
BMO,bmo.com,76
Confluent,confluent.io,76
Deloitte,www2.deloitte.com,76
NetApp,netapp.com,76
SEI,seic.com,76
Two Sigma,twosigma.com,76
Cambridge Associates,cambridgeassociates.com,75
Rockwell Automation,rockwellautomation.com,75
Avalara,avalara.com,74
BMO,www.bmo.com,74
HSF Affiliates LLC,prudential.com,74
Jellyfish,jellyfish.com,74
PwC,www.pwc.com,74
Snyk,snyk.io,74
Telecom Egypt,te.eg,74
Wells Fargo,wellsfargo.com,74
Altus Group,altusgroup.com,73
HMD,nokia.com,73
Northrop Grumman,www.northropgrumman.com,73
"OPTUM360 SERVICES, INC.",optum.com,73
BAE Systems,www.baesystems.com,72
Binary Tree now part of Quest,quest.com,72
KPN,kpn.com,72
SmartAsset,smartasset.com,72
Affinity Health System,healthcare.ascension.org,71
Infosys,infosys.com,71
Unit4,unit4.com,71
Cetera Financial Group,cetera.com,70
Kaseya,kaseya.com,70
NTT DATA,nttdata.com,70
Palo Alto Networks,paloaltonetworks.com,70
TeamViewer,teamviewer.com,70
AbbVie,abbvie.com,69
AppDynamics,splunk.com,69
Arrow ECS EMEA,arrow.com,69
Fisher Investments,fisherinvestments.com,69
Grupo Salinas,gruposalinas.com,69
Morgan Stanley,www.morganstanley.com,69
NETS,nets.com.sg,69
Safran,safran-group.com,69
Sherwin-Williams,www.sherwin-williams.com,69
Sobeys,sobeys.com,69
Balyasny Asset Management L.P.,bamfunds.com,68
"J.B. Hunt Transport Services, Inc.",jbhunt.com,68
Chevron,chevron.com,67
Comcast,corporate.comcast.com,67
Medtronic,medtronic.com,67
PSP Investments,www.investpsp.com,67
Barings,barings.com,66
Citi,citigroup.com,66
KPMG,kpmg.com,66
KeHE Distributors,kehe.com,66
Weatherford,weatherford.com,66
Intel Corporation,www.intel.com,65
Millennium,mlp.com,65
Apple,apple.com,64
Golub Capital,golubcapital.com,64
Qualitest,qualitestgroup.com,64
Toast,pos.toasttab.com,64
UiPath,uipath.com,64
Veeam Software,veeam.com,64
William Blair,www.w-blair.com,64
BDO Canada,bdo.ca,63
Johnson & Johnson,jnj.com,63
Morgan Advanced Materials,www.morganadvancedmaterials.com,63
Novo Nordisk,novonordisk.com,63
Prudential Financial,www.prudential.com,63
VERITAS,veritas.com,63
Caption Health,www.gehealthcare.com,62
FlightSafety International,flightsafety.com,62
Okta,okta.com.pl,62
SAS,www.sas.com,62
Stout,stout.com,62
Xero,xero.com,62
Abnormal AI,abnormalsecurity.com,61
Apex Fintech Solutions,apexfintechsolutions.com,61
BNP Paribas,group.bnpparibas,61
Colliers,ow.ly,61
HCA Healthcare,hcahealthcare.com,61
Health Care Service Corporation,hcsc.com,61
JLT Asia,marsh.com,61
M&G plc,global.mandg.com,61
Sage,sage.com,61
The Reynolds and Reynolds Company,reyrey.com,61
3M,3m.com,60
CIBC,www.cibc.com,60
Deutsche Bank,www.db.com,60
Freshworks,freshworks.com,60
MUFG Capital Analytics,mufg-investorservices.com,60
Northwestern Mutual,northwesternmutual.com,60
Optimum Solutions Pte Ltd,ukg.com,60
PicPay,picpay.com,60
SalonCentric - A Subsidiary of L'Oreal USA,saloncentric.com,60
Sophos,sophos.com,60
University of Minnesota,umn.edu,60
ITV,itvplc.com,59
KPN,www.kpn.com,59
Post Consumer Brands,www.postconsumerbrands.com,59
Vodacom,vodacom.com,59
Andaz Ottawa ByWard Market,hyatt.com,58
Ericsson,ericsson.com,58
GXS,opentext.com,58
Presidio,presidio.com,58
SLB,slb.com,58
Starbucks,starbucks.com,58
Bessemer Trust,www.bessemertrust.com,57
CEVA Logistics,cevalogistics.com,57
Druva,druva.com,57
Ellucian,ellucian.com,57
HTC,htc.com,57
National Bank of Canada,bnc.ca,57
Optiv,optiv.com,57
Rooms To Go,roomstogo.com,57
Air Canada,www.aircanada.com,56
EY,ey.com,56
HCLTech,hcltech.com,56
Ares Management Corporation,aresmgmt.com,55
Brown Brothers Harriman,bbh.com,55
CaixaBank,www.caixabank.es,55
Cushman & Wakefield,cushmanwakefield.com,55
Elevance Health,elevancehealth.com,55
IFS,ifs.com,55
Kotak Life,kotak.com,55
L3 Technologies,siemens.com,55
MICROS Systems Inc,oracle.com,55
NatWest Group,jobs.natwestgroup.com,55
Thales,www.thalesgroup.com,55
Wellington Management,wellington.com,55
Workplace Safety and Insurance Board (WSIB),wsib.ca,55
Banco de Chile,www.bancochile.cl,54
