company,example_job_title,example_job_url,location,source
Evolving Web,Manual QA (Remote),https://www.workopolis.com/jobsearch/viewjob/29MQRIxZuIQYJDVOihwglE8ASTMM-d-8zDzYDN37f-80Xd6U6em2--fqYNkAPZ3H,"Montr??al, QC",Workopolis
NTT DATA,QA Tester,https://www.workopolis.com/jobsearch/viewjob/G6kGaFrPoWgmhjiZtj3in8CcBIatGxh75Rb-C-ShTACcagsqFfU-TD57hE0dQoS9,"Tiverton, ON",Workopolis
Traction Rec,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/bi1E339N24d5fA9ZMDj44dhEcs9NmL6IUeqA1_06mwJ2-Td6zsxkVhsRusnQEMwF,"Vancouver, BC",Workopolis
BioConnect,QA Specialist,https://www.workopolis.com/jobsearch/viewjob/ZlBEixTNEPuVSY1O_kaXssuYCcBham3QjeMd0NNXGQUT5WuWiW-NUWhjQQRbEDgu,"Toronto, ON",Workopolis
MealSuite,Intermediate QA,https://www.workopolis.com/jobsearch/viewjob/IqQXOrGESiKqDLOTUwahY4uHViyYlUFOLYJaV7JyuISeR_73QiohnhtOof4GKlCA,"Cambridge, ON",Workopolis
DanceBUG Inc.,QA Analyst/ QA Specialist,https://www.workopolis.com/jobsearch/viewjob/I0Wds1_kfgI51lGWxWt8JpBIUFaSLJdJYGjGPjwIczdW7WxDGx5y5U8TbhWLPI87,"King City, ON",Workopolis
Paralucent,Intermediate QA (PL805),https://www.workopolis.com/jobsearch/viewjob/CZY8ZLg37JQX6JFF7GAbysDL6MMzxguS7FV8nnKcmPHn_suYSbvlgyWbz-6NjAdl,"Toronto, ON",Workopolis
Embross,Software QA Specialist,https://www.workopolis.com/jobsearch/viewjob/kjAP8jn-f3BDXKulDXl9MWHqwY7YxE_DetgSqCJiYBoIsa01NYFgrxsAyktmzgol,"Richmond Hill, ON",Workopolis
First Canadian Insurance Corporation,QA Testing Analyst I,https://www.workopolis.com/jobsearch/viewjob/33vwSA_1Wp76X7CsaM4NdMQYan60a_tuZEpsAL96Qf4uy5xY6XsLV-qbe_cqWhsO,"Sherwood Park, AB",Workopolis
Archon Systems Inc,Quality Assurance (QA) Analyst,https://www.workopolis.com/jobsearch/viewjob/GlgI67aCTlZ5DpqN365WsJhQIuB45A9H0fJIKKaU0Jkm6cEjb8HpmZ_XTCybA2Od,"Toronto, ON",Workopolis
Evertz Microsystems Limited,Junior QA Engineer,https://www.workopolis.com/jobsearch/viewjob/2G59CpieccK7nPPJ83CsEX2F9IhxruvWu3S9Cz2nTQX8RF37VGtnjF5f_xN8UhLS,"Burlington, ON",Workopolis
RETCO Research & Technology Solutions Inc.,QA Analyst (Quality Assurance Analyst),https://www.workopolis.com/jobsearch/viewjob/MGpn1csNFct38kOm1ND51rKmsmhpaeYbV24gxVXCHtlgcEYreupZPmcAb5n1B3Of,"Halifax, NS",Workopolis
h2o.ai,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/NdliQ922Y3cqnuKOirpKX5jH-Q18PD8Ql5mIjWMa6h0CKj2mS1-DBgv2owd6dw8T,"Vancouver, BC",Workopolis
Fintel Connect,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/LPbIiSeyIBCwzdxLEhwogmGIT8TyFihz0suf3z6AqIZt8aZ6Ry3Pxhm-B-MZ1jBG,"Vancouver, BC",Workopolis
LawDepot,Quality Assurance (QA) Analyst - Manual Testing,https://www.workopolis.com/jobsearch/viewjob/6lnujNcjrxUM-ymooWMM_DBVJsJZ8gNoDEDpTxmwd-VTxgbYXKXso5t7TsqBzOs9,"Edmonton, AB",Workopolis
MinuteBox,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/z0R-IGQDg_ktiokgiZYha57qsOSRVT6Ds28XTO1M3vsTqTiRIlTSuKhA8KIQAaX2,"Toronto, ON",Workopolis
BI Canada Ltd,QA Compliance Associate (17 Months Job Rotation),https://www.workopolis.com/jobsearch/viewjob/yh-nBak-HVC-TXX3lxhV4BejGAGZ148NSohKwHWz5ugtPAfsT5z3F7rHYqtVzC9f,"Burlington, ON",Workopolis
Borealis,Analyste QA,https://www.workopolis.com/jobsearch/viewjob/on0_h4cbSU4grRY_gAJThVqbMz1tkBDantHQ-9toriJhMxOAIf__sdv1WrQOEig_,Remote,Workopolis
CGI,QA Lead,https://www.workopolis.com/jobsearch/viewjob/o13ROfcn4j6JU7CHO7Upb9vqshUT5ZvKxs_g7NHNGXwumAG1G1bispGruwZi0sox,"Toronto, ON",Workopolis
MyBeacon Services Inc,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/9vMBg3sDq22PpZJlK5EcVnmMO5jgrbqNrc_vOqMHoqHd5eSzruWguxnW6YKc3yqw,"Toronto, ON",Workopolis
Chef Brandz Inc.,QA Supervisor,https://www.workopolis.com/jobsearch/viewjob/DFlmz4Or6I4_8DAybJ0gU_SQzbGICOlvCd2K8M2mgVlbSr-U4csV3S8RmEG6KT7I,"Mississauga, ON",Workopolis
Security Compass,"Manager, QA",https://www.workopolis.com/jobsearch/viewjob/46HydsEEYWmxhCxdTSMFOBLNfQnVKvlIMzk6tfZv5BMYK3ze1heF0728iFXkH8c_,"Toronto, ON",Workopolis
Freshstone Brands Inc.,QA Technician,https://www.workopolis.com/jobsearch/viewjob/agyD3mF0V6jp5g_gITgqx_ktifP2zybL5Gnn9G_T1qh5lKVHjV9F69ktqa1-uh_X,"Etobicoke, ON",Workopolis
FISPAN,QA Engineer - II,https://www.workopolis.com/jobsearch/viewjob/W7IU5pImblNg-4NQkTgaHZMDtPL9aGJ6R_mJl9FgKmH-2wCdOI3nmK9LAbzDPe3M,"Vancouver, BC",Workopolis
High Tech Genesis,SOFTWARE QA ENGINEER,https://www.workopolis.com/jobsearch/viewjob/PMM5PU3_5hxPpTY_-eBRi5YiElajSNBMqR_eEjVO5jQx_C4PtaDW49HqMiXZtQmn,"Ottawa, ON",Workopolis
Finlink Group,Senior QA Engineer,https://www.workopolis.com/jobsearch/viewjob/CFbR7Zu7y1OuooRW1on35hxNBpY3kM7ZguvpDR9Xkdpho545LKOR9B2074_ABXww,"Scarborough, ON",Workopolis
